題目,正確答案,選項一,選項二,選項三,選項四
問題#469⼀家公司將收集的原始資料儲存在 Amazon S3 儲存桶中。這些數據代表公司客⼾⽤於多種類型的分析。請求的分析類型決定了 S3 物件的存取模式。公司無法預測或控制存取模式。該公司希望降低 S3 成本。哪種解決⽅案可以滿⾜這些要求？,, 使⽤ S3 複製將不經常存取的物件轉換為 S3 標準-不頻繁存取（S3 標準-IA）, 使⽤ S3 ⽣命週期規則將物件從 S3 標準轉換為標準-不頻繁存取 (S3 標準-IA), 使⽤ S3 ⽣命週期規則將物件從 S3 標準過渡到 S3 智慧分層, 使⽤ S3 Inventory 識別尚未存取的物件並將其從 S3 標準過渡到 S3 智慧分層
問題#470⼀家公司在具有 IPv6 位址的 Amazon EC2 執⾏個體上託管應⽤程式。應⽤程式必須使⽤網際網路啟動與其他外部應⽤程式的通訊。然⽽，該公司的安全策略規定，任何外部服務都無法啟動與 EC2 執⾏個體的連線。解決⽅案架構師應該建議什麼來解決這個問題？,, 建立 NAT 閘道並將其作為⼦網路路由表的⽬的地, 建立⼀個網際網路閘道並將其作為⼦網路由表的⽬的地, 建立虛擬專⽤網關並將其作為⼦網路路由表的⽬的地, 建立僅出⼝ Internet 閘道並將其設為⼦網路由表的⽬的地
問題#471⼀家公司正在創建⼀個在 VPC 中的容器上運⾏的應⽤程式。該應⽤程式在 Amazon S3 儲存桶中儲存和存取資料。在開發階段，該應⽤程式將每天在 Amazon S3 中儲存和存取 1 TB 的資料。該公司希望最⼤限度地降低成本，並希望盡可能阻⽌流量通過網路。哪種解決⽅案可以滿⾜這些要求？,, 為 S3 儲存桶啟⽤ S3 智慧分層, 為 S3 儲存桶啟⽤ S3 傳輸加速, 為 Amazon S3 建立網關 VPC 終端節點。將此終端節點與 VPC 中的所有路由表關聯, 在 VPC 中為 Amazon S3 建立介⾯終端節點。將此終端節點與 VPC 中的所有路由表關聯
問題#472⼀家公司有⼀個⾏動聊天應⽤程序，其資料儲存是基於 Amazon DynamoDB。⽤⼾希望以盡可能短的延遲讀取新訊息。解決⽅案架構師需要設計⼀個需要最少應⽤程式變更的最佳解決⽅案。解決⽅案架構師應該選擇哪⼀種⽅法？,, 為新訊息表配置 Amazon DynamoDB Accelerator (DAX)。更新程式碼以使⽤ DAX 端點。, 新增 DynamoDB 唯讀副本以處理增加的讀取負載。更新應⽤程式以指向只讀副本的讀取端點。, 將 DynamoDB 中新訊息表的讀取容量單位數量加倍。繼續使⽤現有的 DynamoDB 終端節點。, 將 Amazon ElastiCache for Redis 快取加入到應⽤程式堆疊。更新應⽤程式以指向 Redis 快取端點⽽不是 DynamoDB。
問題 #473⼀家公司在應⽤程式負載平衡器 (ALB) 後⾯的 Amazon EC2 執⾏個體上託管⼀個網站。該網站提供靜態內容。網站流量不斷增加，該公司擔⼼成本可能會增加。,, 建立 Amazon CloudFront 分配以在邊緣位置快取狀態文件, 建立 Amazon ElastiCache 叢集。將 ALB 連接到 ElastiCache 叢集以提供快取文件, 建立 AWS WAF Web ACL 並將其與 ALB 關聯。在Web ACL中新增⼀條規則來快取靜態文件, 在備⽤ AWS 區域中建立第⼆個 ALB。將⽤⼾流量路由到最近的區域以最⼤限度地降低資料傳輸成本
問題#474⼀家公司在 AWS 區域擁有多個 VPC，以⽀援和運⾏與其他區域的⼯作負載隔離的⼯作負載。由於最近的應⽤程式啟動要求，公司的VPC 必須與所有區域的所有其他 VPC 進⾏通訊。哪⼀種解決⽅案能夠以最少的管理⼯作來滿⾜這些要求？,, 使⽤ VPC 對等互連來管理單⼀區域中的 VPC 通訊。使⽤跨區域的 VPC 對等互連來管理 VPC 通訊。, 使⽤跨所有區域的 AWS Direct Connect 閘道連接跨區域的 VPC 並管理 VPC 通訊。, 使⽤ AWS Transit Gateway 管理單⼀區域中的 VPC 通信，並使⽤ Transit Gateway 跨區域對等來管理 VPC 通訊。, 跨所有區域使⽤ AWS PrivateLink 跨區域連接 VPC 並管理 VPC 通信
問題 #475⼀家公司正在設計⼀個將使⽤ Amazon Elastic Container Service (Amazon ECS) 的容器化應⽤程式。應⽤程式需要存取⾼度耐⽤的共⽤檔案系統，並且可以將資料還原到另⼀個 AWS 區域，恢復點⽬標 (RPO) 為 8 ⼩時。檔案系統需要為區域內的每個可⽤區提供掛載⽬標。解決⽅案架構師希望使⽤ AWS Backup 來管理到另⼀個區域的複製。哪種解決⽅案可以滿⾜這些要求？,, 具有多可⽤區部署的 Amazon FSx for Windows File Server, 具有多可⽤區部署的 Amazon FSx for NetApp ONTAP, 具有標準儲存類別的 Amazon Elastic File System (Amazon EFS), 適⽤於 OpenZFS 的 Amazon FSx
問題 #476⼀家公司預計在不久的將來會快速成⻑。解決⽅案架構師需要在 AWS 上配置現有使⽤者並向新使⽤者授予權限。解決⽅案架構師決定建立 IAM 群組。解決⽅案架構師將根據部⾨將新使⽤者新增⾄ IAM 群組。哪種附加操作是向新使⽤者授予權限的最安全的⽅式？,, 應⽤服務控制策略 (SCP) 來管理存取權限, 建立具有最⼩權限的 IAM ⾓⾊。將⾓⾊附加到 IAM 群組, 建立授予最⼩權限的 IAM 策略。將政策附加到 IAM 群組, 建立 IAM ⾓⾊。將⾓⾊與定義最⼤權限的權限邊界相關聯
問題 #477群組需要列出 Amazon S3 儲存桶以及從該儲存桶中刪除物件的權限。管理員已建立以下 IAM 策略來提供對儲存桶的存取權限，並將該原則套⽤到群組。此群組無法刪除儲存桶中的物件。該公司遵循最低權限存取規則。解決⽅案架構師應將哪條語句新增⾄策略中以修正儲存桶存取？,, , , , 
問題 #478律師事務所需要與公眾分享資訊。這些資訊包括數百個必須公開可讀的文件。禁⽌任何⼈在指定的未來⽇期之前修改或刪除檔案。哪⼀種解決⽅案能夠以最安全的⽅式滿⾜這些要求？,, 將所有檔案上傳到配置為靜態網站託管的 Amazon S3 儲存桶。向在指定⽇期之前存取 S3 儲存桶的任何 AWS 委託⼈授予唯讀IAM 權限。, 建立啟⽤ S3 版本控制的新 Amazon S3 儲存桶。使⽤ S3 物件鎖，並依指定⽇期保留期限。配置靜態網站託管的 S3 儲存桶。設定 S3 儲存桶策略以允許對物件進⾏唯讀存取。, 建立啟⽤ S3 版本控制的新 Amazon S3 儲存桶。配置事件觸發器以在物件修改或刪除時執⾏ AWS Lambda 函數。配置 Lambda 函數以將物件替換為私⼈ S3 儲存桶中的原始版本。, 將所有檔案上傳⾄配置為靜態網站託管的 Amazon S3 儲存桶。選擇包含文件的資料夾。使⽤ S3 物件鎖，並依指定⽇期保留期限。授予存取 S3 儲存桶的任何 AWS 委託⼈唯讀 IAM 權限。
問題 #479⼀家公司正在透過⼿動配置必要的基礎設施來為其新網站製作基礎設施原型。該基礎設施包括 Auto Scaling 群組、Application LoadBalancer 和 Amazon RDS 資料庫。配置經過徹底驗證後，該公司希望能夠立即以⾃動化⽅式在兩個可⽤區中部署基礎設施以供開發和⽣產使⽤。解決⽅案架構師應該建議什麼來滿⾜這些要求？,, 使⽤ AWS Systems Manager 在兩個可⽤區中複製和設定原型基礎設施, 使⽤原型基礎設施作為指導，將基礎設施定義為模板。使⽤ AWS CloudFormation 部署基礎架構。, 使⽤ AWS Cong 記錄原型基礎架構中使⽤的資源清單。使⽤ AWS Cong 將原型基礎架構部署到兩個可⽤區。, 使⽤ AWS Elastic Beanstalk 並將其配置為使⽤對原型基礎設施的⾃動引⽤來⾃動在兩個可⽤區中部署新環境。
問題#480業務應⽤程式託管在 Amazon EC2 上，並使⽤ Amazon S3 進⾏加密物件儲存。⾸席資訊安全官指⽰，兩種服務之間的應⽤程式流量不應穿越公共互聯網。解決⽅案架構師應該使⽤哪種功能來滿⾜合規性要求？,,AWS ⾦鑰管理服務 (AWS KMS),VPC 端點, 私有⼦網路, 虛擬專⽤網關
問題 #481⼀家公司在 AWS 雲端中託管⼀個三層 Web 應⽤程式。多可⽤區 Amazon RDS for MySQL 伺服器構成資料庫層 Amazon ElastiCache 構成快取層。該公司需要⼀種快取策略，當客⼾將項⽬新增⾄資料庫時，該策略可以新增或更新快取中的資料。快取中的資料必須始終與資料庫中的資料相符。哪種解決⽅案可以滿⾜這些要求？,, 實作延遲載入快取策略, 實現直寫式快取策略, 實作新增TTL快取策略, 實作 AWS AppCong 快取策略
問題#482⼀家公司希望將 100 GB 的歷史資料從本地位置遷移到 Amazon S3 儲存桶。該公司擁有每秒 100 兆位元 (Mbps) 的內部網路連線。該公司需要對傳輸到 S3 儲存桶的資料進⾏加密。該公司將把新資料直接儲存在Amazon S3中。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 在 AWS CLI 中使⽤ s3sync 指令將資料直接移到 S3 儲存桶, 使⽤ AWS DataSync 將資料從本地位置遷移到 S3 儲存桶, 使⽤ AWS Snowball 將資料移⾄ S3 儲存桶, 設定從本機位置到 AWS 的 IPsec VPN。使⽤ AWS CLI 中的 s3 cp 指令將資料直接移⾄ S3 儲存桶
問題 #483⼀家公司對在 Windows 容器下的 .NET 6 Framework 上執⾏的 Windows 作業進⾏了容器化。該公司希望在 AWS 雲端中運⾏此作業。該作業每 10 分鐘運⾏⼀次。作業的運⾏時間在 1 分鐘到 3 分鐘之間變化。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？,, 根據作業的容器映像建立 AWS Lambda 函數。配置 Amazon EventBridge 以每 10 分鐘呼叫函數。, 使⽤ AWS Batch 建立使⽤ AWS Fargate 資源的作業。將作業計劃配置為每 10 分鐘運⾏⼀次。, 在 AWS Fargate 上使⽤ Amazon Elastic Container Service (Amazon ECS) 執⾏作業。根據作業的容器鏡像建立排程任務，每10分鐘執⾏⼀次。, 在 AWS Fargate 上使⽤ Amazon Elastic Container Service (Amazon ECS) 執⾏作業。根據作業的容器鏡像建立獨立任務。使⽤Windows 任務排程器每 10 分鐘執⾏⼀次作業。
問題 #484⼀家公司希望從許多獨立的 AWS 帳⼾遷移到整合的多帳⼾架構。該公司計劃為不同的業務部⾨創建許多新的AWS帳⼾。該公司需要使⽤集中式企業⽬錄服務來驗證對這些 AWS 帳⼾的存取權。解決⽅案架構師應該推薦哪種操作組合來滿⾜這些要求？（選兩個。）,, 在 AWS Organizations 中建立⼀個新組織並啟⽤所有功能。在組織中建立新的 AWS 帳⼾。, 設定 Amazon Cognito ⾝份池。配置 AWS IAM Identity Center (AWS Single Sign-On) 以接受 Amazon Cognito 驗證。, 配置服務控制政策 (SCP) 來管理 AWS 帳⼾。將 AWS IAM Identity Center（AWS Single Sign-On）新增⾄ AWS Directory Service。, 在 AWS Organizations 中建立⼀個新組織。配置組織的⾝份驗證機制以直接使⽤ AWS Directory Service。E. 在組織中設定 AWS IAM Identity Center (AWS Single Sign-On)。配置 IAM Identity Center，並將其與公司的企業⽬錄服務整合。
問題 #485⼀家公司正在尋找⼀種解決⽅案，可以將舊新聞片段的影片檔案儲存在 AWS 中。公司需要最⼤限度地降低成本，並且很少需要恢復這些文件。當需要這些文件時，它們必須在最多五分鐘內可⽤。最具成本效益的解決⽅案是什麼？,, 將視訊檔案儲存在 Amazon S3 Glacier 中並使⽤加急檢索。, 將視訊檔案儲存在 Amazon S3 Glacier 中並使⽤標準檢索。, 將視訊檔案儲存在 Amazon S3 標準-不頻繁存取 (S3 標準-IA) 中。, 將視訊檔案儲存在 Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) 中。
問題 #486⼀家公司正在 AWS 上建立三層應⽤程式。表⽰層將服務於靜態網站。邏輯層是容器化應⽤程式。該應⽤程式將資料儲存在關聯式資料庫中。該公司希望簡化部署並降低營運成本。哪種解決⽅案可以滿⾜這些要求？,, 使⽤ Amazon S3 託管靜態內容。將 Amazon Elastic Container Service (Amazon ECS) 與 AWS Fargate 結合使⽤以獲得運算能⼒。使⽤託管 Amazon RDS 叢集作為資料庫。, 使⽤ Amazon CloudFront 託管靜態內容。將 Amazon Elastic Container Service (Amazon ECS) 與 Amazon EC2 結合使⽤以獲得運算能⼒。使⽤託管 Amazon RDS 叢集作為資料庫。, 使⽤ Amazon S3 託管靜態內容。將 Amazon Elastic Kubernetes Service (Amazon EKS) 與 AWS Fargate 結合使⽤以獲得運算能⼒。使⽤託管 Amazon RDS 叢集作為資料庫。, 使⽤ Amazon EC2 預留執⾏個體託管靜態內容。將 Amazon Elastic Kubernetes Service (Amazon EKS) 與 Amazon EC2 結合使⽤以獲得運算能⼒。使⽤託管 Amazon RDS 叢集作為資料庫。
問題 #487⼀家公司為其應⽤程式尋求儲存解決⽅案。該解決⽅案必須具有⾼可⽤性和可擴展性。此解決⽅案還必須充當檔案系統，可由 AWS中和本地的多個 Linux 執⾏個體透過本機協定安裝，且沒有最⼩⼤⼩要求。該公司建立了⼀個站點到站點 VPN，⽤於從其本地網路存取其 VPC。哪種儲存解決⽅案可以滿⾜這些要求？,, Amazon FSx 多可⽤區部署, Amazon Elastic Block Store (Amazon EBS) 多重附加卷, 具有多個掛載⽬標的 Amazon Elastic File System (Amazon EFS), 具有單⼀掛載⽬標和多個存取點的 Amazon Elastic File System (Amazon EFS)
問題 #488⼀家成立 4 年的媒體公司正在使⽤ AWS Organizations 所有功能集來組織其 AWS 帳⼾。根據公司財務團隊的說法，會員帳⼾的帳單資訊不得被任何⼈訪問，包括會員帳⼾的根⽤⼾。哪種解決⽅案可以滿⾜這些要求？,, 將所有財務團隊使⽤者新增⾄ IAM 群組。將名為 Billing 的 AWS 託管策略附加到該群組。, 附加基於⾝分的策略以拒絕所有使⽤者（包括 root 使⽤者）存取計費資訊。, 建立服務控制策略 (SCP) 以拒絕對計費資訊的存取。將 SCP 附加到根組織單位 (OU)。, 從組織所有功能功能集轉換為組織合併計費功能集。
問題#489⼀家電⼦商務公司在 AWS 雲端中運⾏與本地倉庫解決⽅案整合的應⽤程式。該公司使⽤ Amazon Simple Notication Service (AmazonSNS) 將訂單訊息傳送到本地 HTTPS 終端節點，以便倉庫應⽤程式可以處理訂單。本地資料中⼼團隊發現部分訂單訊息未收到。解決⽅案架構師需要保留未傳遞的訊息並分析這些訊息最多 14 天。哪種解決⽅案能夠以最少的開發⼯作滿⾜這些要求？,, 配置具有 Amazon Kinesis Data Stream ⽬標且保留期為 14 天的 Amazon SNS 死信佇列。, 在應⽤程式和 Amazon SNS 之間新增保留期為 14 天的 Amazon Simple Queue Service (Amazon SQS) 佇列。, 配置具有 Amazon Simple Queue Service (Amazon SQS) ⽬標且保留期為 14 天的 Amazon SNS 死信佇列。, 配置⼀個 Amazon SNS 死信佇列，該佇列具有 Amazon DynamoDB ⽬標，且 TTL 屬性設定為保留期 14 天。
問題#490⼀家遊戲公司使⽤ Amazon DynamoDB 來儲存⽤⼾訊息，例如地理位置、玩家資料和排⾏榜。該公司需要使⽤最少的編碼來配置Amazon S3 儲存桶的連續備份。備份不得影響應⽤程式的可⽤性，也不得影響為表定義的讀取容量單位 (RCU)。哪種解決⽅案滿⾜這些要求？,, 使⽤ Amazon EMR 叢集。建立 Apache Hive 作業以將資料備份到 Amazon S3。, 透過連續備份將資料直接從 DynamoDB 匯出到 Amazon S3。開啟表的時間點恢復。, 配置 Amazon DynamoDB 串流。建立 AWS Lambda 函數來使⽤串流並將資料匯出到 Amazon S3 儲存桶。, 建立 AWS Lambda 函數以定期將資料從資料庫表格匯出到 Amazon S3。開啟表的時間點恢復。
問題#491解決⽅案架構師正在設計⼀個非同步應⽤程式來處理銀⾏的信⽤卡資料驗證請求。應⽤程式必須是安全的並且能夠⾄少處理每個請求⼀次。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？,, 使⽤ AWS Lambda 事件來源映射。將 Amazon Simple Queue Service (Amazon SQS) 標準佇列設定為事件來源。使⽤ AWS KeyManagement Service (SSE-KMS) 進⾏加密。為 Lambda 執⾏⾓⾊新增 kms:Decrypt 權限。, 使⽤ AWS Lambda 事件來源映射。使⽤ Amazon Simple Queue Service (Amazon SQS) FIFO 佇列作為事件來源。使⽤ SQS 託管加密⾦鑰 (SSE-SQS) 進⾏加密。新增Lambda函數的加密⾦鑰呼叫權限。, 使⽤ AWS Lambda 事件來源映射。將 Amazon Simple Queue Service (Amazon SQS) FIFO 佇列設定為事件來源。使⽤ AWS KMS ⾦鑰(SSE-KMS)。為 Lambda 執⾏⾓⾊新增 kms:Decrypt 權限。, 使⽤ AWS Lambda 事件來源映射。將 Amazon Simple Queue Service (Amazon SQS) 標準佇列設定為事件來源。使⽤ AWS KMS ⾦鑰(SSE-KMS) 進⾏加密。新增Lambda函數的加密⾦鑰呼叫權限。
問題#492⼀家公司擁有多個⽤於開發⼯作的 AWS 帳⼾。⼀些員⼯持續使⽤超⼤的 Amazon EC2 實例，這導致公司超出了開發帳⼾的年度預算。該公司希望集中限制這些帳⼾中 AWS 資源的建立。哪種解決⽅案能夠以最少的開發⼯作滿⾜這些要求？,, 開發使⽤經批准的 EC2 建立流程的 AWS Systems Manager 範本。使⽤核准的 Systems Manager 範本來預置 EC2 執⾏個體。, 使⽤ AWS Organizations 將帳⼾組織到組織單位 (OU)。定義並附加服務控制策略 (SCP) 以控制 EC2 執⾏個體類型的使⽤。, 配置 Amazon EventBridge 規則，以便在建立 EC2 執⾏個體時呼叫 AWS Lambda 函數。停⽌不允許的 EC2 執⾏個體類型。, 為員⼯設定 AWS Service Catalog 產品以建立允許的 EC2 執⾏個體類型。確保員⼯只能使⽤服務⽬錄產品來部署 EC2 執⾏個體。
問題 #493⼀家公司希望使⽤⼈⼯智慧 (AI) 來確定其客⼾服務呼叫的品質。該公司⽬前管理四種不同語⾔的通話，其中包括英語。該公司未來將提供新的語⾔。該公司沒有資源來定期維護機器學習 (ML) 模型。該公司需要根據客⼾服務通話錄⾳建立書⾯情緒分析報告。客⼾服務通話錄⾳文字必須翻譯成英文。哪⼀種步驟組合可以滿⾜這些要求？（選擇三項。）,, 使⽤ Amazon Comprehend 將錄⾳翻譯成英文。, 使⽤ Amazon Lex 建立書⾯情緒分析報告。, 使⽤ Amazon Polly 將錄⾳轉換為文字。, 使⽤ Amazon Transcribe 將任何語⾔的錄⾳轉換為文字。E. 使⽤ Amazon Translate 將任何語⾔的文字翻譯成英文。F. 使⽤ Amazon Comprehend 建立情緒分析報告。
問題#494⼀家公司使⽤ Amazon EC2 執⾏個體來託管其內部系統。作為部署作業的⼀部分，管理員嘗試使⽤ AWS CLI 終⽌ EC2 執⾏個體。但是，管理員收到 403（訪問被拒絕）錯誤訊息。管理者正在使⽤附加了以下 IAM 策略的 IAM ⾓⾊：請求失敗的原因是什麼？答： ,, EC2 執⾏個體具有具有 Deny 語句的基於資源的策略。, 政策聲明中未明確主體。, 「操作」欄位不授予終⽌ EC2 執⾏個體所需的操作。, 終⽌ EC2 執⾏個體的請求不是源⾃ CIDR 區塊 192.0.2.0/24 或 203.0.113.0/24。
問題#495某公司正在進⾏內部稽核。該公司希望確保與該公司的 AWS Lake Formation 資料湖關聯的 Amazon S3 儲存桶中的資料不包含敏感的客⼾或員⼯資料。該公司希望發現個⼈識別資訊 (PII) 或財務信息，包括護照號碼和信⽤卡號碼。哪種解決⽅案可以滿⾜這些要求？,, 在帳號上配置 AWS Audit Manager。選擇⽀付卡產業資料安全標準 (PCI DSS) 進⾏審核。, 在 S3 儲存桶上設定 Amazon S3 清單 設定 Amazon Athena 以查詢清單。, 配置 Amazon Macie 以執⾏使⽤所需資料類型的託管識別碼的資料發現作業。, 使⽤ Amazon S3 Select 在 S3 儲存桶中執⾏報告。
問題 #496⼀家公司使⽤本地伺服器來託管其應⽤程式。該公司的存儲容量即將耗盡。這些應⽤程式同時使⽤區塊儲存和 NFS 儲存。該公司需要⼀個⾼效能的解決⽅案，⽀援本地緩存，⽽無需重新建置現有應⽤程式。解決⽅案架構師應該採取哪些操作組合來滿⾜這些要求？（選兩個。）,, 將 Amazon S3 掛載為檔案系統到本機伺服器。, 部署 AWS Storage Gateway 檔案閘道來取代 NFS 儲存。, 部署 AWS Snowball Edge 以將 NFS 掛載配置到本機伺服器。, 部署 AWS Storage Gateway 磁碟區閘道來取代區塊儲存。E. 部署 Amazon Elastic File System (Amazon EFS) 磁碟區並將其掛載到本機伺服器。
問題 #497⼀家公司有⼀項服務，可以從同⼀ AWS 區域中的 Amazon S3 儲存桶讀取和寫入⼤量資料。此服務部署在 VPC 私有⼦網路內的Amazon EC2 執⾏個體上。本服務透過公有⼦網路中的 NAT 閘道與 Amazon S3 進⾏通訊。然⽽，該公司想要⼀種能夠降低資料輸出成本的解決⽅案。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？,, 在公有⼦網路中設定專⽤ EC2 NAT 執⾏個體。設定私有⼦網路的路由表以使⽤該實例的彈性網路介⾯作為所有 S3 流量的⽬標。, 在私有⼦網路中設定專⽤ EC2 NAT 執⾏個體。設定公有⼦網路的路由表，以使⽤此實例的彈性網路介⾯作為所有 S3 流量的⽬標。, 設定 VPC 閘道終端節點。設定私有⼦網路的路由表以使⽤網關端點作為所有 S3 流量的路由。, 設定第⼆個 NAT 閘道。設定私有⼦網路的路由表以使⽤此 NAT 閘道作為所有 S3 流量的⽬標。
問題 #498⼀家公司使⽤ Amazon S3 將⾼解析度圖片儲存在 S3 儲存桶中。為了最⼤限度地減少應⽤程式更改，該公司將圖片儲存為 S3 物件的最新版本。該公司只需保留圖片的兩個最新版本。該公司希望降低成本。該公司已將 S3 儲存桶確定為⼀項重⼤⽀出。哪種解決⽅案能夠以最少的營運開銷降低 S3 成本？,, 使⽤ S3 Lifecycle 刪除過期的物件版本並保留兩個最新版本。, 使⽤ AWS Lambda 函數檢查舊版本並刪除除兩個最新版本之外的所有版本。, 使⽤ S3 批次操作刪除非⽬前物件版本並僅保留兩個最新版本。, 停⽤ S3 儲存桶上的版本控制並保留兩個最新版本。
問題#499公司需要最⼤限度地降低 1 Gbps AWS Direct Connect 連接的成本。公司平均連線利⽤率不⾜10%。解決⽅案架構師必須推薦⼀個既能降低成本⼜不會影響安全性的解決⽅案。哪種解決⽅案可以滿⾜這些要求？,, 設定新的 1 Gbps Direct Connect 連線。與另⼀個 AWS 帳⼾共⽤連線。, 在 AWS 管理主控台中設定新的 200 Mbps Direct Connect 連線。, 聯絡 AWS Direct Connect 合作夥伴訂購 1 Gbps 連線。與另⼀個 AWS 帳⼾共⽤連線。, 聯絡 AWS Direct Connect 合作夥伴，為現有 AWS 帳⼾訂購 200 Mbps 託管連線。
問題#500⼀家公司擁有多個本機 Windows 檔案伺服器。該公司希望將其檔案遷移並整合到 Amazon FSx for Windows File Server 檔案系統中。必須保留檔案權限以確保存取權限不會變更。哪些解決⽅案可以滿⾜這些要求？（選兩個。）,, 在本機部署 AWS DataSync 代理程式。規劃 DataSync 任務以將資料傳輸到 FSx for Windows 檔案伺服器檔案系統。, 使⽤ AWS CLI 將每個檔案伺服器上的共⽤複製到 Amazon S3 儲存桶中。規劃 AWS DataSync 任務以將資料傳輸到 FSx for WindowsFile Server 檔案系統。, 從每個檔案伺服器中刪除磁碟機。將磁碟機運送到 AWS 以匯入 Amazon S3 中。規劃 AWS DataSync 任務以將資料傳輸到 FSx forWindows File Server 檔案系統。, 訂購 AWS Snowcone 設備。將裝置連接到本地網路。在裝置上啟動 AWS DataSync 代理程式。規劃 DataSync 任務以將資料傳輸到 FSx for Windows 檔案伺服器檔案系統。E. 訂購 AWS Snowball Edge Storage Optimized 設備。將裝置連接到本地網路。使⽤ AWS CLI 將資料複製到裝置。將裝置運回 AWS 以匯入 Amazon S3。規劃 AWS DataSync 任務以將資料傳輸到 FSx for Windows File Server 檔案系統。
問題#501⼀家公司希望將客⼾⽀付資料提取到該公司的 Amazon S3 資料湖中。該公司平均每分鐘都會收到付款數據。該公司希望即時分析⽀付數據。然後該公司希望將數據提取到數據湖中。哪種解決⽅案能夠以最⾼的營運效率滿⾜這些要求？,, 使⽤ Amazon Kinesis Data Streams 擷取資料。使⽤ AWS Lambda 即時分析數據。, 使⽤ AWS Glue 擷取資料。使⽤ Amazon Kinesis Data Analytics 即時分析數據。, 使⽤ Amazon Kinesis Data Firehose 擷取資料。使⽤ Amazon Kinesis Data Analytics 即時分析數據。, 使⽤ Amazon API Gateway 擷取資料。使⽤ AWS Lambda 即時分析數據。
問題#502⼀家公司在 Amazon EC2 上經營⼀個使⽤內容管理系統 (CMS) 的網站。CMS 在單⼀ EC2 執⾏個體上執⾏，並使⽤ Amazon AuroraMySQL 多可⽤區資料庫執⾏個體作為資料層。網站圖像儲存在安裝在 EC2 執⾏個體內的 Amazon Elastic Block Store (Amazon EBS) 磁碟區上。解決⽅案架構師應該採取哪些操作組合來提⾼網站的效能和彈性？（選兩個。）,, 將網站映像移⾄安裝在每個 EC2 執⾏個體上的 Amazon S3 儲存桶中, 使⽤主 EC2 執⾏個體中的 NFS 共⽤來共⽤網站映像。將此共⽤掛載到其他 EC2 執⾏個體上。, 將網站映像移⾄安裝在每個 EC2 執⾏個體上的 Amazon Elastic File System (Amazon EFS) 檔案系統。, 從現有 EC2 執⾏個體建立 Amazon 系統映像 (AMI)。使⽤ AMI 在 Application Load Balancer 後⾯置備新執⾏個體作為 Auto Scaling群組的⼀部分。配置 Auto Scaling 組以維護⾄少兩個執⾏個體。在 AWS Global Accelerator 中為網站配置加速器E. 從現有 EC2 執⾏個體建立 Amazon 系統映像 (AMI)。使⽤ AMI 在 Application Load Balancer 後⾯置備新執⾏個體作為 Auto Scaling群組的⼀部分。配置 Auto Scaling 組以維護⾄少兩個執⾏個體。為網站配置 Amazon CloudFront 指派。
問題#503⼀家公司營運基礎設施監控服務。該公司正在建立⼀項新功能，使該服務能夠監控客⼾ AWS 帳⼾中的資料。新功能將呼叫客⼾帳⼾中的 AWS API 來描述 Amazon EC2 執⾏個體並讀取 Amazon CloudWatch 指標。公司應該如何做才能以最安全的⽅式存取客⼾帳⼾？,, 確保客⼾在其帳⼾中建立 IAM ⾓⾊，該⾓⾊具有唯讀 EC2 和 CloudWatch 權限以及對公司帳⼾的信任策略。, 建立⼀個無伺服器 API，⽤於實作令牌⾃動販賣機，為具有唯讀 EC2 和 CloudWatch 權限的⾓⾊提供臨時 AWS 憑證。, 確保客⼾在其帳⼾中建立具有唯讀 EC2 和 CloudWatch 權限的 IAM 使⽤者。在機密管理系統中加密並儲存客⼾存取權限和⾦鑰。, 確保客⼾在其帳⼾中建立 Amazon Cognito ⽤⼾，以使⽤具有唯讀 EC2 和 CloudWatch 權限的 IAM ⾓⾊。將 Amazon Cognito 使⽤者和密碼加密並儲存在機密管理系統中。
問題#504⼀家公司需要連接 us-east-1 區域中跨越數百個 AWS 帳⼾的多個 VPC。該公司的網路團隊擁有⾃⼰的AWS帳⼾來管理雲端網路。連接 VPC 時最⾼效的解決⽅案是什麼？,, 在每個 VPC 之間建立 VPC 對等連線。更新每個關聯⼦網路的路由表, 在每個VPC中設定NAT網關和Internet網關，以透過Internet連接每個VPC, 在網路團隊的 AWS 帳⼾中建立 AWS Transit Gateway。配置來⾃每個 VPC 的靜態路由。, 在每個VPC 中部署VPN 閘道。在網路團隊的 AWS 帳⼾中建立⼀個中轉 VPC 以連接到每個 VPC。
